head_entity	relation	tail_entity
measles virus	causes	measles
abortion	part_of	reproductive health
mri	affects	image analysis
mri	affects	image denoising
sars	causes	acute respiratory distress syndrome
sars	causes	coronavirus disease
sars	causes	coronavirus infection
sars	causes	atypical pneumonia
sars	causes	viral pneumonia
sars	causes	acute respiratory distress
sars	causes	acute respiratory failure
ofloxacin	causes	drug toxicity
ofloxacin	causes	drug reaction
broiler chicken	affected_by	consumer demand
broiler chicken	affected_by	food prices
broiler chicken	affected_by	labor costs
heart	causes	cardiac arrest
rickettsia conorii	causes	mediterranean spotted fever
rickettsia conorii	causes	infectious disease
estrogen	causes	cognitive function
estrogen	causes	blood samples
estrogen	causes	locomotor activity
cataract	causes	ultraviolet radiation
cancer	manifestation_of	tumor
infant	measurement_of	specific antibody
cholesterol	causes	inflammation
patients	diagnoses	cancer
mtd	diagnoses	opioid use disorder
mtd	affects	reinforcement
mtd	causes	physical dependence
mtd	affects	reward pathways
mtd	causes	withdrawal symptoms
mtd	affects	cognitive function
mtd	ingredient_of	pain management medications
mtd	affects	mood
mtd	causes	dependence
bile	diagnoses	digestive system disease
bile	diagnoses	endocrine system disease
bile	diagnoses	respiratory system disease
bile	diagnoses	cardiovascular system disease
bile	diagnoses	reproductive system disease
Ebola virus	manifestation	Ebola virus disease
hyperglycemia	causes	diabetes mellitus
beta-blockers	treats	hypertension
hip fracture	causes	bone fragility
hip fracture	causes	bone structure
hip fracture	causes	bone remodeling
hip fracture	causes	bone turnover
hip fracture	causes	bone resorption
hip fracture	causes	bone formation
hip fracture	causes	bone mineral density
hip fracture	causes	bone microarchitecture
hip fracture	causes	bone geometry
neonate	ingredient_of	oxygen
neonate	ingredient_of	nitrogen
neonate	ingredient_of	carbon
neonate	ingredient_of	hydrogen
cartilage	resorbs	marrow space
cartilage	resorbs	long bones
cartilage	resorbs	epiphysis
cartilage	resorbs	aggrecan
cartilage	resorbs	core protein
cartilage	resorbs	canal
tamoxifen	causes	increased serum alkaline phosphatase
tamoxifen	causes	increased serum triglycerides
tamoxifen	causes	increased serum creatinine
tamoxifen	causes	increased serum creatine kinase
gender identity disorder	causes	gender dysphoria
gender identity disorder	diagnoses	transsexualism
goat	causes	plasma flow
helicobacter pylori	ingredient_of	human pathogen
mice	affected by	don
gene transfer	causes	plasmids
rhinitis	causes	nasal polyposis
rhinitis	causes	conjunctivitis
rhinitis	causes	asthma
rhinitis	causes	chronic bronchitis
rhinitis	causes	skin allergy
rhinitis	causes	allergic rhinitis
rhinitis	causes	bronchitis
lung	part_of	body
tgat	causes	anchorage-independent growth
tgat	causes	tumorigenicity
alzheimer's disease	causes	cognitive impairment
quitlines	diagnoses	tobacco users
iron deficiency	diagnoses	iron deficiency anemia
iron deficiency	causes	reduced growth rate
iron deficiency	associated_with	poor feeding practices
iron deficiency	affects	mortality rate
sepsis	causes	severe sepsis
2-deoxyribose 5-phosphate	causes	injury
2-deoxyribose 5-phosphate	causes	damage
2-deoxyribose 5-phosphate	causes	trauma
bisphenol A	causes	cancer
breast cancer	causes	obesity
stachybotrys chartarum	causes	neurological effects
stachybotrys chartarum	causes	immunotoxicity
vasoconstriction	causes	vascular tension
cholesterol granuloma	causes	fibrous capsule
isoproterenol	affects	contracture
serum creatinine	measurement_of	renal function
myocardial infarction	causes	reperfusion injury
goiter	causes	iodine deficiency
goiter	affects	thyroid function
goiter	ingredient_of	thyroid gland
goiter	diagnoses	neck examination
amoxicillin	ingredient_of	acute bronchitis
chemokine	ingredient_of	chemokine gradients
nursing	interacts_with	patients
fk-037	diagnoses	bacterial meningitis
fk-037	diagnoses	bacterial endocarditis
fk-037	diagnoses	bacterial sepsis
fk-037	diagnoses	bacterial pneumonia
fk-037	diagnoses	bacterial urinary tract infections
terbinafine	affects	fungal infections
digoxin	treats	digoxin clearance
beta-2-microglobulin	measurement_of	urine
creatinine	measurement_of	urine
pah	measurement_of	urine
digoxin	ingredient_of	plasma
beta-2-microglobulin	ingredient_of	plasma
creatinine	ingredient_of	plasma
pah	ingredient_of	plasma
arthritis	causes	joint inflammation
cholesterol	causes	cardiovascular disease
ms1	causes	programmed cell death
ms1	affects	cell migration
ms1	affects	cell proliferation
telomere	manifestation_of	gene expression regulation
telomere	affects	chromosome separation
telomere	diagnoses	senescence
telomere	ingredient_of	telomere ends
telomere	manifestation_of	gene regulation
telomere	affects	noncoding RNAs
telomere	diagnoses	telomere length regulation
heart failure	associated_with	fear of death
warfarin	interacts_with	clopidogrel
rabbit	ingredient_of	pancreas
rabbit	affects	pancreas
rabbit	diagnoses	pancreas
rabbit	causes	pancreas
rabbit	measured_by	pancreas
rabbit	manifestation_of	pancreas
rabbit	interacts_with	pancreas
rabbit	associated_with	pancreas
carbamazepine	treats	epilepsy
animal welfare	diagnoses	animal welfare issues
animal welfare	manifestation of	animal welfare issues
bimetallic nanoparticles	part_of	biosensors
bimetallic nanoparticles	ingredient_of	biosensors
spinal cord injury	causes	paralysis
abdominal aortic aneurysm	causes	atherosclerosis
cadaver allografts	treats	pneumonia
cadaver allografts	treats	primary
cadaver allografts	treats	il-2 receptor
tracheostomy	affects	quality of life
swine	affects	pharmacokinetics
finegoldia	part_of	human microbiome
finegoldia	affects	human microbiome
finegoldia	ingredient_of	human microbiome
finegoldia	measurement_of	human microbiome
secretin	associated_with	g-protein-coupled receptors
exhaled nitric oxide	diagnoses	wheeze
exhaled nitric oxide	causes	bronchoconstriction
exhaled nitric oxide	associated_with	impulse oscillometry
exhaled nitric oxide	part_of	respiratory system
exhaled nitric oxide	diagnoses	asthma
exhaled nitric oxide	ingredient_of	atopy
exhaled nitric oxide	associated_with	spt
exhaled nitric oxide	ingredient_of	respiratory system
cancer	interacts_with	immune system
acute intermittent porphyria	isa	disease
food	diagnoses	aging
food	interacts_with	reproduction
food	affects	basal metabolic rate
food	ingredient_of	body composition
hand	part_of	body
banana plants	causes	false positives
dnaase i	diagnoses	denaturation
colorectal cancer	causes	metagenomic analyses
arabidopsis	part_of	plant
hcg	affects	pregnancy
inflammation	causes	chronic inflammation
cancer	affects	immune system
cocaine	diagnoses	addiction
t2d	measured_by	body mass index
t2d	interacts_with	obesity
cat	causes	psoriatic arthritis
cat	causes	gout
cat	causes	lupus
cat	causes	reactive arthritis
cat	causes	sjogren's syndrome
cat	causes	ankylosing spondylitis
macitentan	ingredient_of	combination therapy
macitentan	interacts_with	taxol
macitentan	interacts_with	cisplatinum
bortezomib	treats	multiple myeloma
nursing consultation	implemented in	unit
nursing consultation	implemented in	cardiac
cyclodextrins	affects	media
cyclodextrins	affects	acceptors
cyclodextrins	affects	inhibition
hypertrophic cardiomyopathy	causes	sudden cardiac death
cholesterol	causes	hypercholesterolemia
doxorubicin	causes	cell death
doxorubicin	interacts_with	glutathione
doxorubicin	affects	matrix metalloproteinase
spleen	isa	organ
cosmeceuticals	interacts_with	skin barrier function
cosmeceuticals	causes	skin inflammation
cosmeceuticals	associated_with	skin health
cosmeceuticals	interacts_with	skin pH
cosmeceuticals	causes	skin sensitivity
horse	manifestation_of	abdominal pain
covid-19	ingredient_of	virus
abi	diagnoses	dca
cilia	diagnoses	ciliopathies
borrelia burgdorferi	causes	lyme disease
conbercept	affects	ocular tissues
conbercept	affects	retina
oxygen	administer	patient
angina pectoris	causes	acute heart failure
angina pectoris	causes	fatal outcome
angina pectoris	causes	indicators
barley	ingredient_of	beer
type 2 diabetes mellitus	affects	diabetic ketoacidosis
type 2 diabetes mellitus	affects	diabetic nephropathy
type 2 diabetes mellitus	affects	diabetic retinopathy
type 2 diabetes mellitus	affects	diabetic neuropathy
type 2 diabetes mellitus	affects	diabetic foot ulcers
type 2 diabetes mellitus	affects	diabetic complications
type 2 diabetes mellitus	affects	diabetic coma
hemoglobin	part_of	blood
sepsis	causes	mortality
obesity	causes	cancer
vascular endothelial growth factor	causes	angiogenesis
phenoxymethylpenicillin	affects	protein binding
pheneticillin	affects	protein binding
smoking	affects	cardiovascular system
sedentary conditions	affects	mean arterial pressure
sedentary conditions	affects	rostral ventrolateral medulla
clonazepam	effectiveness	depressive disorder
clonazepam	drop of hamd and fkd score	depressive disorder
morbidity	isa	disease
disease	causes	neoplastic diseases
cow	ingredient_of	calf
cow	part_of	calf
echocardiography	diagnoses	left ventricular ejection fraction
echocardiography	measurement_of	left ventricular ejection fraction
echocardiography	associated_with	imaging technique
echocardiography	ingredient_of	echocardiogram
echocardiography	causes	imaging technique
echocardiography	part_of	echocardiogram
echocardiography	manifestation_of	imaging technique
calcineurin aalpha	affects	renal dysfunction
calcineurin aalpha	affects	cellular processes
calcineurin aalpha	affects	renal function
calcineurin aalpha	affects	hypertension
calcineurin aalpha	affects	immunosuppressive agents
flavin mononucleotide hydroquinone	affects	trimethylamine dehydrogenase
flavin mononucleotide semiquinone	affects	trimethylamine dehydrogenase
platelet	affects	thrombus growth
social justice	measured_by	human development index
quality of life	treats	happiness
cultural identity	measured_by	cultural diversity
neutrophils	affects	endothelial cells
neutrophils	affects	neutrophil migration
neutrophils	affects	transendothelial migration
plgf	measures	placental growth factor
reactive arthritis	diagnoses	arthritides
reactive arthritis	diagnoses	arthritis
reactive arthritis	diagnoses	inflammation
human papillomavirus	causes	vaginal cancer
human papillomavirus	causes	vaginal intraepithelial neoplasia
human papillomavirus	causes	anal intraepithelial neoplasia
human papillomavirus	causes	cervical intraepithelial neoplasia
human papillomavirus	causes	vulvar intraepithelial neoplasia
human papillomavirus	causes	pharyngeal cancer
myocardial fibrosis	causes	inflammatory response
sternocleidomastoid	measured_by	motor evoked potential
metals	ingredient_of	food additives
metals	ingredient_of	food preservatives
testis-brain rna-binding protein	associated_with	translational repression
cat	diagnoses	skin condition
cat	causes	skin infection
cat	manifestation_of	skin rash
cat	diagnoses	skin problem
autolysosome	ingredient_of	autophagic vacuoles
autolysosome	measurement_of	acid phosphatase activity
autolysosome	part_of	lysosomal compartment
copd	ingredient_of	chronic obstructive pulmonary disease
artery	isa	blood vessel
leg	affects	mycetoma
thigh	affects	mycetoma
amputation	causes	recurrence
bone	affects	mycetoma
popliteal	affects	mycetoma
knee	affects	mycetoma
osteitis	affects	mycetoma
foot	affects	mycetoma
cataract	measured_by	visual acuity test
cataract	causes	smoking
cataract	causes	alcohol consumption
trauma severity	affects	inflammation
ritodrine hydrochloride	ingredient_of	tocolytic therapy
magnesium sulfate	ingredient_of	tocolytic therapy
phacoemulsification	treats	cataract
immunization	diagnoses	vaccine-preventable diseases
immunization	associated_with	infectious diseases
immunization	affects	vaccine hesitancy
immunization	ingredient_of	vaccines
immunization	causes	vaccine hesitancy
immunization	part_of	healthcare system
immunization	causes	vaccine-preventable diseases
angiotensin ii	causes	abdominal aortic aneurysm
angiotensin ii	diagnoses	abdominal aortic aneurysm
angiotensin ii	affects	abdominal aortic aneurysm
angiotensin ii	treats	abdominal aortic aneurysm
growth hormone	causes	increased heart rate
leptospirosis	manifestation_of	fever
adipose tissue	part_of	body
migraine	causes	neurogenic inflammation
migraine	affects	headache
acute bronchitis	diagnoses	respiratory infections
glycogen phosphorylase b	affects	glycogen phosphorylase activity
autologous bone marrow transplantation	ingredient_of	sepsis syndrome
autologous bone marrow transplantation	part_of	sepsis syndrome
autologous bone marrow transplantation	treats	sepsis syndrome
autologous bone marrow transplantation	affects	sepsis syndrome
autologous bone marrow transplantation	diagnoses	sepsis syndrome
thalamus	interacts_with	midbrain
thalamus	interacts_with	amygdala
thalamus	interacts_with	hippocampus
thalamus	interacts_with	cerebellum
thalamus	interacts_with	pons
peptide	ingredient_of	protein
ptsd	affects	mental health
ptsd	diagnoses	mental health disorder
nadph	interacts_with	vanadate
nadph	interacts_with	h2o2
nadph	interacts_with	catalase
nadph	interacts_with	electrons
sla	part_of	osteoblast
sla	affects	bone nodule formation
radiotherapy	affects	tumor
acetylcholinesterase	isa	enzyme
phosphorylation	manifestation_of	cellular processes
horse	causes	presbycusis
horse	diagnoses	presbycusis
horse	causes	chikungunya fever
horse	diagnoses	chikungunya fever
horse	causes	ebola
horse	diagnoses	ebola
horse	causes	nipah
horse	diagnoses	nipah
horse	causes	coronavirus
horse	diagnoses	coronavirus
horse	causes	saint louis encephalitis
horse	diagnoses	saint louis encephalitis
styrene-7,8-oxide	measured_by	comet assay
patients	use of herbal medicines	remedies
cancer of kidney	causes	renal cell carcinoma
cancer of kidney	affects	renal function
cancer of kidney	diagnoses	renal cell carcinoma
socs1	measured_by	immunohistochemistry
socs3	measured_by	immunohistochemistry
prader-willi syndrome	diagnoses	genetic disorder
thrombosis	causes	cancer
dioleoylphosphatidylcholine	diagnoses	lipid composition
cftr	manifestation_of	cystic fibrosis
leptospirosis	affects	patient
leptospirosis	manifestation	urine
insulin	changes_in	concentration
glucose	changes_in	concentration
phosphate	affects	vanadate
gout	causes	obesity
gout	causes	hypertension
dural arteriovenous fistula	causes	intracranial hemorrhage
horse	affects	triglyceride concentration
horse	affects	leptin concentration
horse	affects	insulin concentration
horse	affects	glucose concentration
chemerin	causes	metabolic disorders
chemerin	causes	obesity
chemerin	causes	reproductive disorders
chemerin	affects	lipid metabolism
chemerin	affects	immune system
chemerin	affects	energy homeostasis
chemerin	affects	reproductive function
chemerin	diagnoses	metabolic disorders
chemerin	diagnoses	obesity
chemerin	diagnoses	reproductive disorders
chemerin	ingredient_of	adipose tissue
chemerin	ingredient_of	plasma
chemerin	ingredient_of	serum
chemerin	ingredient_of	adipocytes
hypertrophic cardiomyopathy	affects	patients
cardiac muscle	affects	cardiac function
cardiac function	affects	patients
patients	affects	cardiac function
csf1r	isa	receptor
offspring	diagnoses	obesity
offspring	diagnoses	diabetes
mitochondrial dysfunction	affects	mitochondrial dynamics
coffee	causes	insomnia
coffee	causes	anxiety
coffee	causes	depression
coffee	causes	addiction
amoxicillin	measured_by	minimum inhibitory concentration
choroidal thickness	diagnoses	eye disease
choroidal thickness	associated_with	myopia
smoking	causes	cancer
prolactin	measured by	radioimmunoassay
histidine decarboxylase	purified	enzyme
rat basophilic leukemia cells	provide a new and rich source for the purification of histidine decarboxylase	cells
hepatitis delta antigens	causes	Hepatitis delta virus
hepatitis delta antigens	treats	Hepatitis delta virus
hepatitis delta antigens	affects	Hepatitis delta virus
ependymoma	manifestation_of	spinal cord tumor
ependymoma	part_of	spinal canal
ependymoma	diagnoses	spinal tumor
ependymoma	treats	surgical removal
ependymoma	interacts_with	immune system
ependymoma	measures	radiotherapy
bisphenol A	causes	diabetes
bisphenol A	causes	obesity
bisphenol A	causes	metabolic disorders
bisphenol A	causes	neurological problems
bisphenol A	causes	behavioral problems
bisphenol A	causes	autism
bisphenol A	causes	attention deficit hyperactivity disorder
bisphenol A	causes	learning disabilities
bisphenol A	causes	asthma
bisphenol A	causes	allergies
bisphenol A	causes	autoimmune diseases
bisphenol A	causes	infertility
bisphenol A	causes	miscarriage
bisphenol A	causes	premature birth
bisphenol A	causes	birth defects
bisphenol A	causes	heart disease
bisphenol A	causes	stroke
bisphenol A	causes	atherosclerosis
bisphenol A	causes	hypertension
bisphenol A	causes	metabolic syndrome
iron	ingredient_of	blood
schizophrenia	diagnoses	patients
proteins	causes	disease
primary immunodeficiencies	are associated with	interstitial lung disease
primary immunodeficiencies	are associated with	respiratory involvement
infant	diagnoses	neonatal hypoglycemia
glucose disappearance rate	part_of	infants of diabetic mothers
schizophrenia	diagnoses	patient
angina pectoris	causes	coronary artery spasm
angina pectoris	causes	coronary artery atherosclerosis
angina pectoris	causes	coronary artery thrombosis
angina pectoris	causes	coronary artery embolism
angina pectoris	causes	coronary artery aneurysm
angina pectoris	causes	coronary artery dissection
angina pectoris	causes	coronary artery stenosis
triple arthrodesis	interacts_with	foot
marek's disease virus	diagnoses	marek's disease
marek's disease virus	ingredient_of	Oncoprotein
marek's disease virus	ingredient_of	Herpesvirus
iodides	causes	thyroid dysfunction
c-reactive protein	measures	inflammation
melanoma	causes	cancer
fibroblast growth factor 23	affects	mortality
ectopic pregnancy	causes	salpingotomy
pregnancy	causes	multiple pregnancies
mules	affects	equine piroplasmosis
mules	affects	babesia caballi
genetic screening	is a	health management
genetic screening	is a	health economics
genetic screening	is a	health system
cancer	diagnoses	biopsy
sle	ingredient_of	combination therapies
sle	interacts_with	rituximab
sle	treats	bullous pemphigoid
sle	affects	bullous pemphigoid
sle	diagnoses	bullous pemphigoid
sle	causes	bullous pemphigoid
sle	associated_with	rituximab
sle	interacts_with	belimumab
sle	treats	systemic lupus erythematosus
sle	affects	systemic lupus erythematosus
sle	diagnoses	autoimmune disease
sle	associated_with	belimumab
leukemic dendritic cells	ingredient_of	culture medium
leukemic dendritic cells	diagnoses	immune dysfunction
leukemic dendritic cells	part_of	immune system
leukemic dendritic cells	associated_with	immune response
mssa	ingredient_of	bone infection
mssa	diagnoses	bone infection
propofol	ingredient_of	anesthesia
autosomal dominant polycystic kidney disease	affects	kidneys
scimitar syndrome	causes	pulmonary hypertension
scimitar syndrome	causes	pulmonary venous obstruction
scimitar syndrome	causes	pulmonary artery hypertension
scimitar syndrome	causes	pulmonary atresia
scimitar syndrome	causes	pulmonary stenosis
scimitar syndrome	causes	pulmonary valve stenosis
scimitar syndrome	causes	pulmonary valve regurgitation
maturation	causes	oocyte maturation
biosensors	diagnoses	sars-cov-2 infection
cholesterol	causes	coronary artery disease
cholesterol	causes	atherosclerotic plaque
cholesterol	causes	atheroma
aldose reductase	affects	diabetic complications
aldose reductase	causes	diabetic complications
benzene	ingredient_of	gasoline
plasmodium falciparum	diagnoses	malaria
jak2	ingredient_of	pmf
plain chest radiography	measures	imaging technique
human immunodeficiency virus	affects	immune system
bip	affects	soybean
smoking	affects	nicotine addiction
smoking	affects	chronic obstructive pulmonary disease
smoking	affects	cardiovascular disease
smoking	affects	respiratory disease
smoking	affects	oral disease
smoking	affects	pregnancy complications
smoking	affects	infertility
smoking	affects	premature aging
smoking	affects	mental health
smoking	affects	quality of life
smoking	affects	financial burden
smoking	affects	secondhand smoke exposure
smoking	affects	educational attainment
smoking	affects	family conflict
smoking	affects	social stigma
smoking	affects	addiction
smoking	affects	withdrawal symptoms
smoking	affects	relapse
smoking	affects	nicotine dependence
smoking	affects	tobacco dependence
glutathione reductase	activity	coassg
glutathione reductase	activity	gssg
glutathione reductase	activity	baker's yeast
glutathione reductase	activity	affinity chromatography
hair	part_of	body
mri	measures	tumor invasion
mri	measures	tumor necrosis
mri	measures	tumor multiplicity
mri	measures	tumor stage
mri	measures	tumor differentiation
intracranial aneurysm progression	causes	intracranial aneurysm
intracranial aneurysm progression	affects	intracranial aneurysm
intracranial aneurysm progression	treats	intracranial aneurysm
rotavirus	affects	children
aids	causes	immunodeficiency
microtransplantation	diagnoses	adult mouse brain
sclerosing mesenteritis	affects	abdominal masses
sclerosing mesenteritis	part_of	abdominal masses
sclerosing mesenteritis	manifestation_of	abdominal masses
sclerosing mesenteritis	measurement_of	abdominal masses
sclerosing mesenteritis	ingredient_of	abdominal masses
sclerosing mesenteritis	causes	abdominal masses
sclerosing mesenteritis	diagnoses	abdominal masses
sclerosing mesenteritis	associated_with	abdominal masses
cyp11b1	mutations	congenital adrenal hyperplasia
cyp11b1	mutations	hypertension
exposure	diagnoses	infection
active sodium transport	diagnoses	nonequilibrium thermodynamics
active sodium transport	causes	nonequilibrium thermodynamics
pulmonary endarterectomy	associated_with	pulmonary hypertension treatment
phage typing	measures	serotyping
beta-galactosidase	affects	protein crystallography
beta-galactosidase	affects	crystallography
iris	part_of	eye
atrazine	ingredient_of	herbicide
balloon compression	ingredient_of	balloon
balloon compression	interacts_with	patient
balloon compression	diagnoses	bleeding disorder
balloon compression	treats	bleeding disorder
alcoholism	part_of	alcohol use disorder
vibrio parahaemolyticus	ingredient_of	seafood
adenocarcinoma	affects	transverse colon
adenocarcinoma	affects	ileum
lhrh neurons	affects	reproductive endocrine function
reproductive endocrine function	affects	glucocorticoids
lhrh neurons	affects	reproductive function
reproductive function	affects	glucocorticoids
glucocorticoids	affects	lhrh neurons
covid-19	affects	immune system
helicobacter pylori	causes	duodenal ulcer
cardiac catheterization	measures	pulmonary embolism
pulmonary embolism	causes	massive embolus
massive embolus	ingredient_of	thrombus
thrombus	part_of	right main pulmonary artery
right main pulmonary artery	treats	pulmonary thromboendarterectomy
pulmonary thromboendarterectomy	affects	right main pulmonary artery
right main pulmonary artery	measured_by	cardiac catheterization
chlamydia pneumoniae	ingredient_of	pharyngeal swab
chlamydia pneumoniae	part_of	respiratory infections
chlamydia pneumoniae	measurement_of	pharyngeal swab
chlamydia pneumoniae	causes	acute respiratory diseases
chlamydia pneumoniae	affects	pharyngeal swab
chlamydia pneumoniae	manifestation_of	pharyngeal swab
chlamydia pneumoniae	diagnoses	pharyngeal swab
liver	causes	liver failure
nfvppa	causes	degenerative brain disorder
nfvppa	manifestation_of	language impairment
nfvppa	part_of	cognitive disorder
nfvppa	associated_with	progressive aphasia
nfvppa	ingredient_of	neurodegenerative disorder
cadmium	part_of	toxic substance
cadmium	associated_with	infertility
cadmium	affects	fertility
cadmium	manifestation_of	toxicity
cadmium	diagnoses	toxicity
mutant	ingredient_of	tissue culture
mutant	ingredient_of	regenerated plantlets
7-nitro-indazole	measurement_of	arterial blood pressure
pregnancy	diagnoses	gestational hypertension
pregnancy	diagnoses	placental abruption
pregnancy	diagnoses	intrauterine growth restriction
flt-3 ligand	diagnoses	mice
thalamus	interacts_with	cortex
campylobacter	affects	food poisoning
enterococcus	affects	urinary tract infections
progesterone	measured	endocrine hormone
hippocampus	part_of	rat
amphotericin b	ingredient_of	antibiotics
pesticides	diagnoses	pesticide residue analysis
pesticides	interacts_with	plants
pesticides	causes	pesticide poisoning
pesticides	ingredient_of	chemicals
pesticides	interacts_with	insects
pesticides	causes	pesticide resistance
pesticides	ingredient_of	herbicides
pesticides	diagnoses	pesticide toxicity
pesticides	affects	water quality
Pseudomonas aeruginosa	causes	pneumonia
Pseudomonas aeruginosa	causes	sepsis
Pseudomonas aeruginosa	causes	wound infection
Pseudomonas aeruginosa	causes	urinary tract infection
Pseudomonas aeruginosa	causes	skin infection
Pseudomonas aeruginosa	causes	bacteremia
Pseudomonas aeruginosa	causes	meningitis
Pseudomonas aeruginosa	causes	otitis media
Pseudomonas aeruginosa	causes	conjunctivitis
Pseudomonas aeruginosa	causes	endocarditis
Pseudomonas aeruginosa	causes	biliary tract infection
Pseudomonas aeruginosa	causes	pleural infection
Pseudomonas aeruginosa	causes	peritonitis
Pseudomonas aeruginosa	causes	cellulitis
Pseudomonas aeruginosa	causes	food poisoning
hemodynamic	isa	cardiovascular system
antibodies	affects	antigen 2
screening	method	high-throughput screening
screening	probe	wild type
screening	probe	mutant type
screening	labeled	fam
breast cancer	ingredient_of	cancer
tpn	affects	malnutrition
tpn	diagnoses	severe malnutrition
tpn	treats	malnutrition
tpn	causes	malnutrition
cardiac preload	affects	cardiac index
cardiac preload	affects	pulmonary artery diastolic pressure
cardiac preload	affects	heart rate
hcv replication	affects	lipid
hcv replication	affects	virus
transferrin	interacts_with	transferrin receptor 1
diabetes	causes	diabetic acidosis
diabetes	affects	diabetic acidosis
diabetes	measures	diabetic acidosis
diabetes	manifests	diabetic acidosis
diabetes	part_of	diabetic acidosis
diabetes	interacts_with	diabetic acidosis
diabetes	associated_with	diabetic acidosis
diabetes	ingredient_of	diabetic acidosis
amoxicillin	affects	bacterial infection
suicide	diagnoses	psychiatric disorders
bacillus cereus	causes	food poisoning
hcg	diagnoses	pregnancy complications
hcg	part_of	reproductive health
hcg	causes	pregnancy
oocytes	transcription	oogenesis
cathepsin b	promotes tumorigenesis	angiogenesis
cysteine cathepsins	are a family of proteases involved in	extracellular matrix degradation
rcor1	affects	erythropoiesis
rcor1	measurement_of	profound anemia
rcor1	manifestation_of	profound anemia
rcor1	associated_with	profound anemia
rcor1	diagnoses	profound anemia
rcor1	causes	profound anemia
hypertension	causes	physical inactivity
hypertension	causes	renal artery stenosis
bisphenol a	affects	reproductive system
bisphenol a	ingredient_of	epoxy resins
bisphenol a	ingredient_of	flame retardants
bisphenol a	ingredient_of	polyvinyl chloride
bisphenol a	diagnoses	polycystic ovary syndrome
bisphenol a	causes	endometriosis
bisphenol a	diagnoses	infertility
bisphenol a	causes	breast cancer
tumor necrosis factor	causes	tumor necrosis
interleukin-1	causes	tumor necrosis
neu oncogene	causes	nih 3t3 cells
abortion	diagnoses	pregnancy
phenazone	diagnoses	phototoxicity
phenazone	ingredient_of	pharmaceuticals
cle	treats	immunomodulators
cle	treats	immunosuppressives
cle	treats	systemic therapies
cle	treats	calcineurin inhibitors
cle	treats	topical steroids
hypertension	lifestyle modification	cardiovascular morbidity
hypertension	lifestyle modification	ideal body weight
hypertension	lifestyle modification	arterial pressure
hypertension	lifestyle modification	tobacco consumption
hypertension	lifestyle modification	alcohol consumption
hypertension	lifestyle modification	nonpharmacologic approaches
histoplasma capsulatum	causes	disease
dna	part_of	genetic material
rhabdomyosarcoma	causes	resistance
bacillus cereus	causes	food poisoning outbreaks
insulin	causes	hypoglycemia
breast carcinoma	causes	cancer
crimean-congo hemorrhagic fever virus	causes	viral glycoproteins
crimean-congo hemorrhagic fever virus	causes	structural glycoproteins
epilepsy	part_of	neurological disorder
pneumonia	affects	lung
neuroendocrine tumors	causes	metastasis
micrococcus	genus	neomicrococcus lactis
micrococcus	genus	neomicrococcus aestuarii
micrococcus	genus	arthrobacter
micrococcus	genus	citricoccus
hepatitis b	causes	hepatocellular carcinoma
hepatitis c	causes	hepatocellular carcinoma
hdmx	diagnoses	cancer
hdmx	associated_with	oncogenic proteins
gsk2336805	diagnoses	hcv
electrochemical sensors	utilization	enzymatic assays
electrochemical sensors	reliability	enzymatic assays
electrochemical sensors	design	enzymatic assays
cdk2	measured_by	emsa
culture medium	affects	embryo quality
sodium pyruvate	ingredient_of	culture medium
phenylalanine	ingredient_of	culture medium
raman spectroscopy	measures	metabolomic profiling
win55212-2	ingredient_of	medication
win55212-2	associated_with	cannabinoid receptor antagonist
win55212-2	interacts_with	cannabinoid receptor antagonist
cardiac surgery	diagnoses	coronary artery disease
cardiac surgery	diagnoses	heart failure
cardiac surgery	diagnoses	myocardial infarction
influenza	causes	respiratory tract infection
influenza	affects	respiratory tract
influenza	diagnoses	respiratory tract infection
nucleic acids	affects	drug resistance
nucleic acids	affects	cancer progression
nucleic acids	affects	neurodegenerative disease
nucleic acids	affects	immune response
nucleic acids	affects	viral replication
nucleic acids	affects	fungal pathogenesis
nucleic acids	affects	aging
nucleic acids	affects	disease susceptibility
nucleic acids	affects	drug metabolism
nucleic acids	affects	drug toxicity
procollagenase	measured_by	collagen breakdown
baby	interacts_with	illness
pancreatectomy	causes	partial pancreatectomy
bovine	associated_with	ion-exchange chromatography
medulloblastoma	affects	brain
hepatocellular carcinoma	causes	tumor invasion
hepatocellular carcinoma	part_of	liver
hepatocellular carcinoma	causes	tumor recurrence
hbv	diagnoses	viral hepatitis
hbv	treats	antiviral drugs
hbv	ingredient_of	blood serum
hbv	causes	acute liver failure
hbv	treats	liver transplantation
protein synthesis	interacts_with	protein synthesis inhibitor
mxa protein	affects	viral mRNA synthesis
dna	part_of	plasmid
cdca4	isa	gene
e2f	interacts_with	gene
cdca4	treats	cell proliferation
cdca4	affects	transcriptional activation
cdca4	causes	transcription factor e2f
cdca4	associated_with	cell cycle progression
cdca4	measurement_of	gene expression
cdca4	manifestation_of	cancer
glioma stem cells	affects	glioblastoma multiforme
glioma stem cells	diagnoses	glioblastoma multiforme
glioma stem cells	causes	glioblastoma multiforme
glioma stem cells	treats	glioblastoma multiforme
arsenic	affects	urinary excretion
perfluorochemicals	causes	immunotoxicity
perfluorochemicals	causes	neurotoxicity
perfluorochemicals	causes	hepatotoxicity
perfluorochemicals	causes	renal toxicity
perfluorochemicals	causes	cardiovascular toxicity
